N,seed,kproj,w,M,probes,recall,qps,time_per_query
1,42,14,20,2000,500,0.0,102.809263,0.009726750010842894
1,42,14,20,5000,100,0.08333333333333333,12.35581,0.08093358509073868
1,42,14,20,5000,250,0.08333333333333333,24.00605,0.041656165841527454
1,42,14,20,5000,500,0.08333333333333333,23.2564,0.042998916427306036
1,42,14,20,10000,100,0.08333333333333333,6.189775,0.16155676094849974
1,42,14,20,10000,250,0.08333333333333333,9.996909,0.10003091955723514
1,42,14,20,10000,500,0.08333333333333333,10.045843,0.09954366199033769
1,42,14,40,2000,100,0.0,70.346162,0.014215416613631316
1,42,14,40,2000,250,0.0,54.677426,0.018289083322978666
1,42,14,40,2000,500,0.0,81.91294,0.01220808336265308
1,42,14,40,5000,100,0.08333333333333333,32.516007,0.03075408367331204
1,42,14,40,5000,250,0.08333333333333333,30.196352,0.033116583089242035
1,42,14,40,5000,500,0.08333333333333333,31.485485,0.03176066685966565
1,42,14,40,10000,100,0.08333333333333333,17.16721,0.05825058352522046
1,42,14,40,10000,250,0.08333333333333333,10.49496,0.09528383147720429
1,42,14,40,10000,500,0.08333333333333333,15.400707,0.0649320839621194
1,42,14,80,2000,100,0.0,77.780659,0.012856666591112323
1,42,14,80,2000,250,0.0,80.55205,0.01241433334098884
1,42,14,80,2000,500,0.0,39.269586,0.025464999809267152
1,42,14,80,5000,100,0.08333333333333333,13.833906,0.07228616415349359
1,42,14,80,5000,250,0.08333333333333333,21.779375,0.04591499985651562
1,42,14,80,5000,500,0.08333333333333333,14.40042,0.06944241904055576
1,42,14,80,10000,100,0.08333333333333333,13.481965,0.0741731639267718
1,42,14,80,10000,250,0.08333333333333333,11.123367,0.08990083668011672
1,42,14,80,10000,500,0.08333333333333333,7.602274,0.13153958933866366
1,42,14,120,2000,100,0.0,42.084442,0.023761750244900477
1,42,14,120,2000,250,0.0,86.086302,0.011616249934861878
1,42,14,120,2000,500,0.0,72.266954,0.013837583357948088
1,42,14,120,5000,100,0.08333333333333333,24.84719,0.04024599964824996
1,42,14,120,5000,250,0.08333333333333333,15.835647,0.06314866705477838
1,42,14,120,5000,500,0.08333333333333333,25.637794,0.039004915945576285
1,42,14,120,10000,100,0.08333333333333333,13.215932,0.07566624888808447
1,42,14,120,10000,250,0.08333333333333333,11.351178,0.08809658345591972
1,42,14,120,10000,500,0.08333333333333333,13.44702,0.07436591899171713
1,42,14,300,2000,100,0.0,58.6711,0.017044166548777846
1,42,14,300,2000,250,0.0,30.109146,0.03321249961722594
1,42,14,300,2000,500,0.0,27.20194,0.03676208388078203
1,42,14,300,5000,100,0.08333333333333333,19.353653,0.05166983204669423
1,42,14,300,5000,250,0.08333333333333333,32.855739,0.030436083023425528
1,42,14,300,5000,500,0.08333333333333333,25.17486,0.03972216727322416
1,42,14,300,10000,100,0.08333333333333333,10.010185,0.09989825362867918
1,42,14,300,10000,250,0.08333333333333333,10.156804,0.0984561679047858
1,42,14,300,10000,500,0.08333333333333333,10.67875,0.09364391899801006
1,42,14,500,2000,100,0.0,104.43228,0.009575583334961182
1,42,14,500,2000,250,0.0,44.12657,0.022662083184802263
1,42,14,500,2000,500,0.0,81.960495,0.012201000006161505
1,42,14,500,5000,100,0.08333333333333333,23.217298,0.043071334140604996
1,42,14,500,5000,250,0.08333333333333333,19.419581,0.05149441689807828
1,42,14,500,5000,500,0.08333333333333333,23.086957,0.04331450004433239
1,42,14,500,10000,100,0.08333333333333333,5.912093,0.169144835847474
1,42,14,500,10000,250,0.08333333333333333,7.813818,0.12797840953039857
1,42,14,500,10000,500,0.08333333333333333,6.916478,0.1445822570389149
1,42,14,1000,2000,100,0.0,29.182666,0.034266917217227515
1,42,14,1000,2000,250,0.0,28.485971,0.03510499958031973
1,42,14,1000,2000,500,0.0,69.624146,0.01436283326189739
1,42,14,1000,5000,100,0.08333333333333333,36.982818,0.02703958362502284
1,42,14,1000,5000,250,0.08333333333333333,35.246949,0.028371249948470716
1,42,14,1000,5000,500,0.08333333333333333,19.244987,0.05196158355420038
1,42,14,1000,10000,100,0.08333333333333333,7.43208,0.13455183474881863
1,42,14,1000,10000,250,0.08333333333333333,23.981726,0.04169841653599078
1,42,14,1000,10000,500,0.08333333333333333,8.569084,0.11669858762033375
1,42,16,20,2000,100,0.0,54.964433,0.01819358347606351
1,42,16,20,2000,250,0.0,46.757376,0.021386999989049856
1,42,16,20,2000,500,0.0,79.928597,0.012511166685435502
1,42,16,20,5000,100,0.08333333333333333,18.574759,0.05383649930532073
1,42,16,20,5000,250,0.08333333333333333,13.146492,0.0760659193342224
1,42,16,20,5000,500,0.08333333333333333,18.463981,0.054159501139001386
1,42,16,20,10000,100,0.08333333333333333,11.097024,0.09011425045129218
1,42,16,20,10000,250,0.08333333333333333,16.473175,0.06070475181621029
1,42,16,20,10000,500,0.08333333333333333,13.809103,0.07241599979375923
1,42,16,40,2000,100,0.0,63.872595,0.015656166780134737
1,42,16,40,2000,250,0.0,35.071004,0.02851358347197588
