N,seed,nlsh_T,nlsh_m,nlsh_layers,nlsh_nodes,nlsh_epochs,nlsh_batch_size,nlsh_lr,recall,qps,time_per_query
50,42,1000,2200,15,512,8,512,0.001,0.3055955821334837,27.80173831,0.03596897391269632
50,42,1500,1800,5,128,8,512,0.001,0.3055955821334837,24.79607389,0.040328965159411374
50,42,1500,1800,5,256,8,512,0.001,0.3055955821334837,28.34674786,0.0352774154177699
50,42,1500,1800,5,512,8,512,0.001,0.3055955821334837,31.67843407,0.031567216920833106
50,42,1500,1800,10,128,8,512,0.001,0.3055955821334837,22.05194093,0.045347482254479266
50,42,1500,1800,10,256,8,512,0.001,0.3055955821334837,26.66066938,0.03750843558152252
50,42,1500,1800,10,512,8,512,0.001,0.3055955821334837,25.29101539,0.039539733165296215
50,42,1500,1800,15,128,8,512,0.001,0.3055955821334837,25.88095995,0.03863844316176533
50,42,1500,1800,15,256,8,512,0.001,0.3055955821334837,29.44865767,0.03395740516277325
50,42,1500,1800,15,512,8,512,0.001,0.3055955821334837,29.48336542,0.03391743058347238
50,42,1500,2000,5,128,8,512,0.001,0.3055955821334837,23.97679636,0.041706989748984125
50,42,1500,2000,5,256,8,512,0.001,0.3055955821334837,21.85255219,0.0457612452451944
50,42,1500,2000,5,512,8,512,0.001,0.3055955821334837,19.36207925,0.05164734567440633
50,42,1500,2000,10,128,8,512,0.001,0.3055955821334837,32.23921394,0.031018125995909442
50,42,1500,2000,10,256,8,512,0.001,0.3055955821334837,26.37864295,0.03790945583878112
50,42,1500,2000,10,512,8,512,0.001,0.3055955821334837,25.14068818,0.03977615858564775
50,42,1500,2000,15,128,8,512,0.001,0.3055955821334837,32.16178165,0.031092804835331625
50,42,1500,2000,15,256,8,512,0.001,0.3055955821334837,24.27930028,0.04118734841892239
50,42,1500,2000,15,512,8,512,0.001,0.3055955821334837,29.65706666,0.033718776420621224
50,42,1500,2200,5,128,8,512,0.001,0.3055955821334837,28.57162483,0.034999759584901424
50,42,1500,2200,5,256,8,512,0.001,0.3055955821334837,25.70470829,0.03890337866191751
50,42,1500,2200,5,512,8,512,0.001,0.3055955821334837,25.65413589,0.03898006950176797
50,42,1500,2200,10,128,8,512,0.001,0.3055955821334837,27.55383235,0.03629259216277405
50,42,1500,2200,10,256,8,512,0.001,0.3055955821334837,28.37573431,0.03524137874548629
50,42,1500,2200,10,512,8,512,0.001,0.3055955821334837,25.15110422,0.039759685747904706
50,42,1500,2200,15,128,8,512,0.001,0.3055955821334837,30.99671054,0.03226148783463782
50,42,1500,2200,15,256,8,512,0.001,0.3055955821334837,29.42355569,0.03398637508449952
50,42,1500,2200,15,512,8,512,0.001,0.3055955821334837,24.46965859,0.04086693716309835
